age,income,tenure_months,monthly_spend,churn
34,6617.21,6,231.01,0
50,3767.7,41,139.63,0
25,5219.86,3,219.17,0
48,3609.82,114,219.63,0
22,4196.93,87,141.53,0
51,3431.86,29,101.41,0
50,3295.51,24,97.11,0
22,2564.62,12,186.06,0
57,4016.36,57,202.89,0
39,2478.16,90,124.52,0
58,4298.7,70,181.86,0
20,4802.34,105,219.94,0
27,3939.84,41,223.27,0
43,3156.5,34,288.63,1
27,4044.76,57,269.39,1
35,3129.59,25,109.91,1
52,4622.66,117,297.85,1
25,1302.31,23,142.83,0
53,3097.27,57,253.14,1
23,1111.03,63,184.76,0
27,1705.93,7,151.15,0
48,5136.63,56,53.46,0
59,4574.22,55,167.99,0
26,2636.62,31,70.84,0
33,1697.0,16,247.71,1
66,800.0,6,286.18,1
69,2847.81,2,124.22,1
48,6404.5,58,201.14,0
41,4021.86,11,129.22,1
36,2828.51,115,136.01,0
49,4058.1,30,234.21,1
48,1626.85,78,177.3,1
33,3143.21,81,301.78,1
19,3619.37,59,146.24,0
25,3396.68,106,249.95,0
67,4448.97,14,186.82,1
39,3913.57,28,235.7,1
43,4301.99,31,148.7,0
42,2673.95,17,176.53,0
58,4577.38,36,171.92,0
21,5454.72,38,121.48,0
22,2335.82,92,226.35,1
32,2434.77,36,225.52,1
43,5102.94,105,221.55,1
52,3270.39,92,287.59,1
43,5184.59,108,281.45,0
40,2968.96,13,153.75,0
66,5246.05,118,206.11,1
26,3657.78,74,136.35,0
47,3809.87,117,181.63,0
46,5377.66,43,138.02,0
42,3065.88,114,293.4,1
59,2370.65,71,205.46,0
31,2961.72,9,164.74,1
67,4042.8,49,263.55,1
35,1621.09,17,28.06,0
46,4264.97,113,39.01,0
45,2853.47,37,235.71,1
62,4877.38,27,184.23,1
40,800.0,66,197.53,1
32,2556.12,51,87.15,0
19,1476.24,12,178.37,0
36,2508.52,98,320.25,1
60,3797.2,101,237.69,1
18,3284.93,89,191.88,0
64,3195.95,74,149.27,0
46,3308.98,48,152.38,0
25,3744.07,65,30.96,0
33,2289.76,62,198.03,0
46,4348.22,20,239.18,1
34,4295.2,10,69.71,0
23,3962.05,31,133.7,0
52,4167.84,55,98.98,0
52,3855.7,20,112.43,0
24,5942.09,13,183.74,0
32,3395.49,102,34.09,0
30,3131.5,45,223.0,1
52,2595.77,70,232.77,1
55,2261.28,63,162.42,1
55,2006.63,88,20.0,0
66,2433.44,89,110.25,0
57,3415.18,36,266.3,1
34,3901.15,101,20.0,0
23,3561.37,45,155.67,0
49,2581.36,100,97.4,0
65,4580.22,49,236.32,0
68,4387.3,14,132.74,1
29,3308.42,91,208.28,0
30,2716.5,4,219.58,1
19,4158.11,92,308.54,0
25,3725.57,6,165.79,1
46,1762.25,25,206.32,1
46,3418.42,72,76.05,0
37,3814.44,113,263.33,0
34,2420.37,49,126.76,0
61,3727.81,15,140.75,1
41,1754.21,28,178.44,1
60,5103.42,107,70.6,0
68,4997.54,87,196.01,0
34,3196.98,12,247.72,1
28,3936.15,46,200.51,1
67,800.0,32,68.78,1
51,2112.38,22,171.33,1
33,3147.47,101,231.94,0
50,2213.44,74,48.54,0
44,4357.28,22,104.77,0
65,5896.76,78,241.36,0
31,2088.06,50,198.91,1
69,2495.04,8,208.84,1
66,3782.54,54,310.16,1
27,5433.34,23,212.8,0
26,2033.15,30,226.05,1
45,3798.84,105,369.75,1
20,5685.56,85,165.03,0
33,1517.89,16,124.15,0
40,1962.72,102,209.95,1
68,2991.67,69,210.73,1
69,2875.29,105,143.13,0
25,4475.12,89,107.73,0
64,3789.99,41,341.69,1
22,1370.05,64,202.88,1
56,4118.49,64,128.74,0
61,2806.95,86,244.12,1
64,5029.34,30,172.36,1
29,2746.89,40,162.3,0
64,2736.06,30,219.36,1
24,4149.36,36,89.57,0
44,4415.51,20,204.68,1
42,4037.72,5,313.91,1
34,1477.28,112,212.63,0
19,4145.64,9,153.67,0
58,2258.83,106,144.5,1
35,3782.33,1,151.28,1
52,1791.52,93,162.22,0
39,4035.59,40,153.55,0
37,2532.08,62,244.14,0
64,1960.84,34,58.68,1
22,4356.58,59,240.34,1
56,3789.97,54,153.42,0
56,2763.23,64,206.39,1
37,5241.41,47,101.11,0
31,2971.22,64,273.0,1
18,3538.53,99,267.19,0
66,3822.7,52,247.17,1
67,2756.4,44,73.97,1
30,4065.36,16,238.04,1
19,2859.86,43,208.34,0
24,3006.03,15,67.63,0
21,5135.17,22,178.3,0
61,2251.3,114,205.52,0
64,800.0,11,218.93,1
25,5433.12,58,192.41,1
56,6559.19,100,200.39,0
27,3013.68,114,283.15,0
37,1175.79,18,265.82,1
49,3127.42,20,20.0,0
55,3156.53,45,157.78,0
63,3272.09,66,168.47,1
20,2163.93,115,57.35,0
28,4195.47,25,186.59,0
32,4129.41,20,267.41,1
34,1706.71,31,103.94,0
69,4339.04,105,203.55,0
58,5963.22,4,115.89,0
34,3706.35,46,132.97,0
68,3095.21,15,283.42,1
43,3329.6,19,142.02,0
44,4238.31,110,212.35,0
40,1423.19,1,49.01,0
25,3697.27,39,310.36,1
66,3031.44,109,222.19,0
18,5717.39,73,167.23,0
27,3290.99,9,220.29,1
29,5501.47,56,81.31,0
32,2175.51,116,262.78,0
24,4204.71,48,157.32,0
18,3883.28,63,165.72,0
53,2457.14,64,145.58,0
68,3712.88,79,139.35,1
24,4955.02,23,228.63,0
33,3111.45,100,197.91,0
44,1469.64,118,225.62,1
66,3478.92,17,179.38,1
54,2417.09,98,215.92,1
57,3089.19,98,150.68,0
48,3402.09,89,336.08,1
39,1453.22,45,70.24,0
28,1561.21,56,268.27,0
62,4078.48,100,275.75,1
59,2872.74,19,120.35,0
19,800.0,99,336.05,1
55,4441.81,110,249.68,1
22,3826.84,82,247.98,0
56,2643.35,41,181.96,0
60,1919.8,67,164.79,0
24,4502.97,6,165.34,1
40,3919.22,111,207.34,0
24,6359.12,41,278.08,1
47,4004.23,7,192.69,1
66,3965.24,95,116.2,0
22,3299.69,79,237.71,0
38,4480.13,75,244.48,0
68,4250.1,7,225.83,1
33,5002.07,90,232.18,0
24,2874.41,76,161.04,0
43,2977.51,95,114.97,0
44,2925.08,99,119.23,0
52,4448.96,26,65.52,0
34,5298.05,26,196.59,0
67,2949.39,110,174.16,1
45,2990.27,64,149.2,0
32,3876.89,53,20.0,0
67,3205.09,35,92.69,0
66,4642.46,77,258.46,1
43,800.0,90,133.48,0
19,2507.95,1,205.24,1
49,2561.1,66,82.65,0
46,800.0,119,280.71,0
25,2343.63,34,169.92,0
50,2401.81,34,200.3,0
61,3258.67,105,342.8,1
23,4835.56,8,286.15,1
55,3205.93,48,158.54,0
25,2263.02,55,138.47,1
56,3431.65,95,157.21,0
39,4759.01,16,215.69,1
18,2328.85,52,172.63,0
68,2407.31,19,152.33,1
26,4170.26,94,282.7,1
48,3234.16,76,172.01,0
27,4276.98,60,340.97,1
66,3483.62,47,186.35,0
56,4342.0,19,304.97,1
59,2257.91,110,205.01,0
40,3485.5,78,247.41,1
42,3247.17,38,129.28,0
50,2040.93,50,120.24,0
58,1623.83,87,212.18,1
62,4322.9,86,249.2,0
18,3078.86,55,182.82,0
52,2273.26,37,89.95,0
23,3384.59,79,84.78,0
32,4853.62,79,80.1,0
61,800.0,72,56.27,1
31,1704.03,9,187.66,1
59,2392.54,57,258.75,1
42,5253.41,74,179.06,0
30,3839.1,114,21.77,0
35,4420.78,63,166.65,0
45,2131.81,41,168.6,1
57,2156.56,67,326.72,1
49,4037.38,22,78.0,0
66,3569.93,11,152.65,1
63,4158.49,81,299.41,1
57,3274.79,118,211.5,1
49,3833.77,101,219.43,0
33,3689.74,70,188.02,0
39,4433.32,5,203.1,1
24,4468.41,118,234.43,0
37,1556.15,54,123.34,0
66,803.28,35,241.46,1
40,4702.09,107,83.89,0
